coin,symbol,price(USD),1h_Price_Change,24h_Price_Change,7d_Price_Change,24h_volume,Market_cap,date
Bitcoin,BTC,40859.46,0.022000000000000002,0.03,0.055,35390763321.0,770991461396.0,2022-03-16
Ethereum,ETH,2744.41,0.024,0.034,0.065,19748695312.0,327104429349.0,2022-03-16
Tether,USDT,1.0,-0.001,-0.001,0.0,57934969077.0,79965155138.0,2022-03-16
BNB,BNB,383.43,0.018000000000000002,0.027999999999999997,0.004,1395853984.0,64043816800.0,2022-03-16
USD Coin,USDC,0.999874,-0.001,0.0,-0.0,3872273611.0,52222137400.0,2022-03-16
XRP,XRP,0.785018,0.019,0.019,0.08900000000000001,3925204682.0,37530785877.0,2022-03-16
Terra,LUNA,89.51,0.024,-0.005,0.046,2661508267.0,32945963147.0,2022-03-16
Solana,SOL,85.61,0.024,0.013999999999999999,0.040999999999999995,1776167313.0,27535891424.0,2022-03-16
Cardano,ADA,0.824161,0.016,0.016,0.027999999999999997,950718327.0,26331888060.0,2022-03-16
Polkadot,DOT,18.55,0.031,0.035,0.095,762198942.0,20175265447.0,2022-03-16
Avalanche,AVAX,73.69,0.034,0.032,0.011000000000000001,866838890.0,19563622731.0,2022-03-16
Binance USD,BUSD,1.0,-0.002,0.002,0.002,4039490120.0,17975175881.0,2022-03-16
Dogecoin,DOGE,0.11566,0.015,0.023,-0.011000000000000001,451839687.0,15312260998.0,2022-03-16
TerraUSD,UST,1.0,-0.001,0.003,0.001,742209053.0,15025463384.0,2022-03-16
Shiba Inu,SHIB,2.241815e-05,0.024,0.027999999999999997,-0.021,546344871.0,12186102832.0,2022-03-16
Wrapped Bitcoin,WBTC,40820.44,0.02,0.03,0.055,443045583.0,11077637101.0,2022-03-16
Cronos,CRO,0.401575,0.018000000000000002,0.043,0.038,99233479.0,10108572460.0,2022-03-16
Polygon,MATIC,1.44,0.028999999999999998,0.034,-0.0,665458992.0,9860943646.0,2022-03-16
Dai,DAI,0.999429,-0.0,-0.001,-0.0,311112491.0,9375312310.0,2022-03-16
Cosmos Hub,ATOM,28.8,0.017,0.051,0.035,784802946.0,8346059118.0,2022-03-16
Litecoin,LTC,109.44,0.016,0.013000000000000001,0.08900000000000001,735718470.0,7629784997.0,2022-03-16
Lido Staked Ether,STETH,2745.31,0.026000000000000002,0.035,0.067,20327033.0,6972219575.0,2022-03-16
Near,NEAR,10.61,0.040999999999999995,0.032,0.091,402450393.0,6885969777.0,2022-03-16
Chainlink,LINK,14.41,0.023,0.064,0.102,720924698.0,6696893329.0,2022-03-16
TRON,TRX,0.060751875857,0.011000000000000001,0.005,0.003,608305288.0,6139215131.0,2022-03-16
FTX Token,FTT,42.37,0.02,0.024,0.045,91093038.0,5803217982.0,2022-03-16
Bitcoin Cash,BCH,295.57,0.018000000000000002,0.015,0.039,1378527955.0,5613130722.0,2022-03-16
LEO Token,LEO,5.97,0.006999999999999999,0.01,0.055,831673.0,5547865232.0,2022-03-16
OKB,OKB,19.05,0.013000000000000001,0.039,0.07200000000000001,180398248.0,4944831000.0,2022-03-16
Algorand,ALGO,0.731009,0.025,0.013999999999999999,-0.01,151572159.0,4824820884.0,2022-03-16
Stellar,XLM,0.186969,0.017,0.026000000000000002,0.079,257508818.0,4584325546.0,2022-03-16
Uniswap,UNI,9.05,0.032,0.04,0.025,188489995.0,4103226435.0,2022-03-16
Hedera,HBAR,0.200008,0.012,-0.006999999999999999,-0.024,65559083.0,3922919996.0,2022-03-16
Axie Infinity,AXS,50.46,0.036000000000000004,0.062,0.08900000000000001,288996469.0,3733676299.0,2022-03-16
Decentraland,MANA,2.43,0.021,0.065,0.013999999999999999,481292822.0,3652548066.0,2022-03-16
Ethereum Classic,ETC,26.93,0.027999999999999997,0.031,0.01,315618129.0,3573077723.0,2022-03-16
Elrond,EGLD,162.55,0.025,0.049,0.22899999999999998,318813970.0,3550487729.0,2022-03-16
The Sandbox,SAND,3.08,0.009000000000000001,0.126,0.092,989130040.0,3486478110.0,2022-03-16
Internet Computer,ICP,16.26,0.02,0.019,-0.035,158065484.0,3447698400.0,2022-03-16
Monero,XMR,189.34,0.003,0.011000000000000001,-0.073,251596905.0,3416516046.0,2022-03-16
cETH,CETH,53.71,-0.001,0.009000000000000001,0.04,1088.54,3191011869.0,2022-03-16
